link,company_job,Experience,No_of_salary,No_of_salary1,average_salary,average_bonus,salary_range,Salary_25,Salary_75
"https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm?experienceLevel=LESS_THAN_ONE","https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm",LESS_THAN_ONE,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm?experienceLevel=ONE_TO_THREE","https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm",ONE_TO_THREE,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm?experienceLevel=FOUR_TO_SIX","https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm",FOUR_TO_SIX,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm?experienceLevel=SEVEN_TO_NINE","https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm",SEVEN_TO_NINE,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm?experienceLevel=TEN_TO_FOURTEEN","https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm",TEN_TO_FOURTEEN,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm?experienceLevel=ABOVE_FIFTEEN","https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Data-Scientist-Salaries-E13461_D_KO26,40.htm",ABOVE_FIFTEEN,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/IBM-Data-Scientist-Salaries-E354_D_KO4,18.htm?experienceLevel=LESS_THAN_ONE",IBM Data Scientist Salaries,0-1 Years,33 Salaries,33,"₹ 10,13,582","Additional Pay Average: ₹ 51,059","₹291K ₹2,539K",₹642K 25%,"₹1,251K 75%"
"https://www.glassdoor.co.in/Salary/IBM-Data-Scientist-Salaries-E354_D_KO4,18.htm?experienceLevel=ONE_TO_THREE",IBM Data Scientist Salaries,1-3 Years,44 Salaries,44,"₹ 10,01,000","Additional Pay Average: ₹ 22,932","₹300K ₹2,817K",₹714K 25%,"₹1,191K 75%"
"https://www.glassdoor.co.in/Salary/IBM-Data-Scientist-Salaries-E354_D_KO4,18.htm?experienceLevel=FOUR_TO_SIX",IBM Data Scientist Salaries,4-6 Years,18 Salaries,18,"₹ 10,30,833","Additional Pay Average: ₹ 19,247","₹459K ₹3,581K",₹692K 25%,"₹1,520K 75%"
"https://www.glassdoor.co.in/Salary/IBM-Data-Scientist-Salaries-E354_D_KO4,18.htm?experienceLevel=SEVEN_TO_NINE",IBM Data Scientist Salaries,7-9 Years,5 Salaries,5,"₹ 14,00,000","Additional Pay Average: ₹ 2,00,000","₹845K ₹2,500K",₹907K 25%,"₹2,112K 75%"
"https://www.glassdoor.co.in/Salary/IBM-Data-Scientist-Salaries-E354_D_KO4,18.htm?experienceLevel=TEN_TO_FOURTEEN",IBM Data Scientist Salaries,10-14 Years,16 Salaries,16,"₹ 21,24,068","Additional Pay Average: ₹ 1,81,171","₹729K ₹4,342K",NA,NA
